6523940 function calls (6485944 primitive calls) in 150.803 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:722(exec_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.069    0.069  150.803  150.803 <string>:1(<module>)
        6    0.000    0.000    0.000    0.000 <string>:1(__new__)
     5935    0.007    0.000    0.011    0.000 _VF.py:11(__getattr__)
       10    0.000    0.000    0.000    0.000 __future__.py:18(get_overwrite_module_params_on_conversion)
        6    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
        4    0.000    0.000    0.000    0.000 __init__.py:1368(info)
        4    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
       10    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
        5    0.000    0.000    0.000    0.000 __init__.py:20(_make_grads)
        4    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
     4000    0.004    0.000    0.007    0.000 __init__.py:31(__get__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        5    0.000    0.000   87.142   17.428 __init__.py:44(backward)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 _collections.py:140(__init__)
       42    0.000    0.000    0.000    0.000 _collections.py:155(__getitem__)
       33    0.000    0.000    0.000    0.000 _collections.py:186(__iter__)
       30    0.000    0.000    0.000    0.000 _collections.py:214(add)
        3    0.000    0.000    0.000    0.000 _collections.py:230(extend)
        6    0.000    0.000    0.000    0.000 _collections.py:46(__init__)
        3    0.000    0.000    0.000    0.000 _collections.py:53(__getitem__)
        3    0.000    0.000    0.000    0.000 _collections.py:60(__setitem__)
        6    0.000    0.000    0.010    0.002 _collections.py:91(clear)
       43    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:406(__subclasshook__)
       33    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:701(__len__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
      420    0.000    0.000    0.002    0.000 _collections_abc.py:742(__iter__)
       18    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
       15    0.000    0.000    0.000    0.000 _internal_utils.py:14(to_native_string)
        3    0.000    0.000    0.000    0.000 _internal_utils.py:30(unicode_is_ascii)
       45    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       30    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       45    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        5    0.000    0.000    0.000    0.000 _reduction.py:6(get_enum)
      207    0.000    0.000    0.002    0.000 _utils.py:128(_rebuild_tensor)
      207    0.000    0.000    0.002    0.000 _utils.py:134(_rebuild_tensor_v2)
      102    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
    73/32    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
     1920    0.011    0.000    0.095    0.000 activation.py:1008(__init__)
     1920    0.004    0.000    3.750    0.002 activation.py:1017(forward)
      160    0.000    0.000    0.003    0.000 activation.py:294(forward)
        1    0.000    0.000    0.000    0.000 adam.py:30(__init__)
        5    0.012    0.002    0.035    0.007 adam.py:49(step)
        6    0.000    0.000    0.000    0.000 adapters.py:113(__init__)
        6    0.000    0.000    0.000    0.000 adapters.py:146(init_poolmanager)
        3    0.000    0.000    0.000    0.000 adapters.py:203(cert_verify)
        3    0.000    0.000    0.001    0.000 adapters.py:255(build_response)
        3    0.000    0.000    0.002    0.001 adapters.py:292(get_connection)
        6    0.000    0.000    0.010    0.002 adapters.py:319(close)
        3    0.000    0.000    0.000    0.000 adapters.py:329(request_url)
        3    0.000    0.000    0.000    0.000 adapters.py:358(add_headers)
        3    0.000    0.000    1.203    0.401 adapters.py:394(send)
        6    0.000    0.000    0.000    0.000 adapters.py:58(__init__)
        3    0.000    0.000    1.242    0.414 api.py:16(request)
        3    0.000    0.000    1.243    0.414 api.py:91(head)
        1    0.000    0.000    0.000    0.000 base_stream.py:109(n_targets)
        1    0.000    0.000    0.000    0.000 base_stream.py:130(target_values)
        1    0.000    0.000    0.000    0.000 base_stream.py:151(feature_names)
        1    0.000    0.000    0.000    0.000 base_stream.py:172(target_names)
        1    0.000    0.000    0.000    0.000 base_stream.py:18(__init__)
        1    0.000    0.000    0.000    0.000 base_stream.py:46(n_features)
        1    0.000    0.000    0.000    0.000 base_stream.py:65(n_cat_features)
        1    0.000    0.000    0.000    0.000 base_stream.py:87(n_num_features)
        3    0.000    0.000    0.000    0.000 client.py:1017(_send_output)
        3    0.000    0.000    0.000    0.000 client.py:1071(putrequest)
        3    0.000    0.000    0.000    0.000 client.py:1196(_encode_request)
        3    0.000    0.000    0.000    0.000 client.py:1200(_validate_path)
       15    0.000    0.000    0.000    0.000 client.py:1208(putheader)
        3    0.000    0.000    0.000    0.000 client.py:1236(endheaders)
        3    0.000    0.000    0.001    0.000 client.py:1249(request)
        3    0.000    0.000    0.001    0.000 client.py:1254(_send_request)
       15    0.000    0.000    0.000    0.000 client.py:1256(<genexpr>)
        3    0.000    0.000    0.319    0.106 client.py:1300(getresponse)
        3    0.000    0.000    0.002    0.001 client.py:203(parse_headers)
        3    0.000    0.000    0.000    0.000 client.py:236(__init__)
        3    0.000    0.000    0.316    0.105 client.py:266(_read_status)
        3    0.000    0.000    0.319    0.106 client.py:299(begin)
        3    0.000    0.000    0.000    0.000 client.py:379(_check_close)
        3    0.000    0.000    0.000    0.000 client.py:408(_close_conn)
        6    0.000    0.000    0.000    0.000 client.py:413(close)
        3    0.000    0.000    0.000    0.000 client.py:425(flush)
       12    0.000    0.000    0.000    0.000 client.py:436(isclosed)
        3    0.000    0.000    0.000    0.000 client.py:446(read)
        3    0.000    0.000    0.000    0.000 client.py:805(_get_content_length)
        3    0.000    0.000    0.000    0.000 client.py:837(__init__)
        3    0.000    0.000    0.000    0.000 client.py:881(_get_hostport)
        3    0.000    0.000    0.001    0.000 client.py:944(close)
        3    0.000    0.000    0.000    0.000 client.py:958(send)
       18    0.000    0.000    0.000    0.000 client.py:996(_output)
        4    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        4    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
     1011    0.001    0.000    0.003    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 configuration_bert.py:85(__init__)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:188(<genexpr>)
        1    0.000    0.000    0.001    0.001 configuration_utils.py:210(from_json_file)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:221(__repr__)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:224(to_dict)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:229(to_json_string)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:51(__init__)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:64(<dictcomp>)
        3    0.000    0.000    0.000    0.000 configuration_utils.py:65(<genexpr>)
        3    0.000    0.000    0.000    0.000 configuration_utils.py:67(<genexpr>)
        1    0.000    0.000    0.407    0.407 configuration_utils.py:89(from_pretrained)
        3    0.000    0.000    0.000    0.000 connection.py:101(__init__)
        6    0.000    0.000    0.000    0.000 connection.py:114(host)
        3    0.000    0.000    0.000    0.000 connection.py:133(host)
        3    0.000    0.000    0.273    0.091 connection.py:143(_new_conn)
        3    0.000    0.000    0.000    0.000 connection.py:228(__init__)
        3    0.000    0.000    0.000    0.000 connection.py:301(set_cert)
        3    0.000    0.000    0.273    0.091 connection.py:33(create_connection)
        3    0.000    0.000    0.877    0.292 connection.py:332(connect)
        3    0.000    0.000    0.000    0.000 connection.py:428(_match_hostname)
        3    0.000    0.000    0.000    0.000 connection.py:89(_set_socket_options)
        3    0.000    0.000    0.000    0.000 connection.py:97(allowed_gai_family)
        3    0.000    0.000    0.000    0.000 connectionpool.py:1036(_normalize_host)
        3    0.000    0.000    0.001    0.000 connectionpool.py:167(__init__)
        3    0.000    0.000    0.000    0.000 connectionpool.py:237(_get_conn)
        3    0.000    0.000    0.000    0.000 connectionpool.py:276(_put_conn)
        3    0.000    0.000    0.000    0.000 connectionpool.py:304(_validate_conn)
        6    0.000    0.000    0.000    0.000 connectionpool.py:314(_get_timeout)
        3    0.000    0.000    1.198    0.399 connectionpool.py:351(_make_request)
        3    0.009    0.003    0.010    0.003 connectionpool.py:455(close)
        3    0.000    0.000    1.200    0.400 connectionpool.py:494(urlopen)
        3    0.000    0.000    0.000    0.000 connectionpool.py:73(__init__)
        3    0.000    0.000    0.001    0.000 connectionpool.py:873(__init__)
        3    0.000    0.000    0.000    0.000 connectionpool.py:922(_prepare_conn)
        3    0.000    0.000    0.000    0.000 connectionpool.py:950(_new_conn)
        3    0.000    0.000    0.877    0.292 connectionpool.py:986(_validate_conn)
        1    0.000    0.000    0.000    0.000 container.py:128(__init__)
        1    0.000    0.000    0.000    0.000 container.py:163(__len__)
      160    0.000    0.000    0.000    0.000 container.py:167(__iter__)
        1    0.000    0.000    0.000    0.000 container.py:171(__iadd__)
        1    0.000    0.000    0.000    0.000 container.py:200(extend)
        6    0.000    0.000    0.000    0.000 contextlib.py:107(__enter__)
        6    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
        6    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
        6    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
       18    0.000    0.000    0.000    0.000 cookiejar.py:1210(vals_sorted_by_key)
       18    0.000    0.000    0.000    0.000 cookiejar.py:1214(deepvalues)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1249(__init__)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1278(_cookies_for_request)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1285(_cookie_attrs)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1344(add_cookie_header)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1587(make_cookies)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1668(extract_cookies)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1722(clear_expired_cookies)
       18    0.000    0.000    0.000    0.000 cookiejar.py:1741(__iter__)
        9    0.000    0.000    0.000    0.000 cookiejar.py:43(_debug)
       12    0.000    0.000    0.000    0.000 cookiejar.py:870(__init__)
        6    0.000    0.000    0.000    0.000 cookies.py:104(__init__)
       12    0.000    0.000    0.000    0.000 cookies.py:111(info)
        6    0.000    0.000    0.001    0.000 cookies.py:118(extract_cookies_to_jar)
        3    0.000    0.000    0.000    0.000 cookies.py:135(get_cookie_header)
        6    0.000    0.000    0.000    0.000 cookies.py:348(update)
        9    0.000    0.000    0.000    0.000 cookies.py:37(__init__)
        9    0.000    0.000    0.000    0.000 cookies.py:508(cookiejar_from_dict)
        9    0.000    0.000    0.000    0.000 cookies.py:521(<listcomp>)
        6    0.000    0.000    0.000    0.000 cookies.py:529(merge_cookies)
        3    0.000    0.000    0.000    0.000 cookies.py:81(get_new_headers)
     55/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
       51    0.000    0.000    0.000    0.000 copy.py:190(_deepcopy_atomic)
      4/1    0.000    0.000    0.000    0.000 copy.py:236(_deepcopy_dict)
        4    0.000    0.000    0.000    0.000 copy.py:252(_keep_alive)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
     5920    0.012    0.000    0.070    0.000 dropout.py:53(forward)
       37    0.000    0.000    0.001    0.000 dropout.py:8(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:182(encode)
        1    0.000    0.000    0.000    0.000 encoder.py:204(iterencode)
        4    0.000    0.000    0.000    0.000 encoder.py:223(floatstr)
        1    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
  142/116    0.000    0.000    0.000    0.000 encoder.py:333(_iterencode_dict)
       27    0.000    0.000    0.000    0.000 encoder.py:353(<lambda>)
      116    0.000    0.000    0.000    0.000 encoder.py:413(_iterencode)
       69    0.000    0.000    0.000    0.000 enum.py:284(__call__)
       69    0.000    0.000    0.000    0.000 enum.py:526(__new__)
       25    0.000    0.000    0.000    0.000 enum.py:623(name)
        4    0.000    0.000    0.000    0.000 enum.py:628(value)
        2    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
        2    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
       12    0.000    0.000    0.000    0.000 enum.py:830(__or__)
       12    0.000    0.000    0.000    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.000    0.000 enum.py:855(_high_bit)
        2    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        2    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
        7    0.000    0.000    0.000    0.000 enum.py:901(<lambda>)
        1    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
        3    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        6    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        6    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
       39    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        3    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        3    0.000    0.000    0.001    0.000 feedparser.py:173(feed)
        6    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        3    0.000    0.000    0.000    0.000 feedparser.py:184(close)
        3    0.000    0.000    0.000    0.000 feedparser.py:197(_new_message)
        3    0.000    0.000    0.000    0.000 feedparser.py:210(_pop_message)
        6    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        3    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        3    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        3    0.000    0.000    0.000    0.000 feedparser.py:70(close)
       39    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        3    0.000    0.000    0.000    0.000 file_utils.py:126(is_remote_url)
        3    0.000    0.000    0.000    0.000 file_utils.py:138(url_to_filename)
        3    0.000    0.000    1.243    0.414 file_utils.py:188(cached_path)
        3    0.000    0.000    1.243    0.414 file_utils.py:299(get_from_cache)
        3    0.000    0.000    0.000    0.000 fnmatch.py:19(fnmatch)
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
        3    0.000    0.000    0.000    0.000 fnmatch.py:64(fnmatchcase)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
     5736    0.042    0.000    1.021    0.000 formatting.py:7(clean_text)
     1920    0.004    0.000    3.746    0.002 functional.py:1202(softmax)
        5    0.000    0.000    0.000    0.000 functional.py:1297(log_softmax)
    11685    1.052    0.000   27.090    0.002 functional.py:1355(linear)
      480    0.001    0.000    0.078    0.000 functional.py:1406(embedding)
     4000    0.014    0.000    1.322    0.000 functional.py:1689(layer_norm)
        5    0.000    0.000    0.000    0.000 functional.py:1784(nll_loss)
     5920    0.027    0.000    0.058    0.000 functional.py:788(dropout)
       21    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        3    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
      380    0.001    0.000    0.001    0.000 grad_mode.py:137(__init__)
      380    0.001    0.000    0.001    0.000 grad_mode.py:37(__enter__)
      380    0.001    0.000    0.002    0.000 grad_mode.py:41(__exit__)
        9    0.000    0.000    0.000    0.000 hooks.py:17(default_hooks)
        9    0.000    0.000    0.000    0.000 hooks.py:18(<dictcomp>)
        3    0.000    0.000    0.000    0.000 hooks.py:23(dispatch_hook)
        9    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 idna.py:300(getregentry)
       82    0.000    0.000    0.012    0.000 init.py:12(_no_grad_uniform_)
       25    0.000    0.000    0.000    0.000 init.py:123(ones_)
       25    0.000    0.000    0.000    0.000 init.py:137(zeros_)
        3    0.000    0.000    0.162    0.054 init.py:17(_no_grad_normal_)
      148    0.000    0.000    0.001    0.000 init.py:202(_calculate_fan_in_and_fan_out)
       25    0.000    0.000    0.000    0.000 init.py:22(_no_grad_fill_)
       25    0.000    0.000    0.000    0.000 init.py:27(_no_grad_zero_)
       74    0.000    0.000    0.000    0.000 init.py:273(_calculate_correct_fan)
       74    0.000    0.000    0.532    0.007 init.py:283(kaiming_uniform_)
       74    0.000    0.000    0.000    0.000 init.py:32(calculate_gain)
       82    0.000    0.000    0.012    0.000 init.py:74(uniform_)
        3    0.000    0.000    0.162    0.054 init.py:91(normal_)
       74    0.001    0.000    0.539    0.007 linear.py:68(__init__)
       74    0.001    0.000    0.534    0.007 linear.py:79(reset_parameters)
    11685    0.044    0.000   27.144    0.002 linear.py:86(forward)
        1    0.001    0.001    1.062    1.062 loaders.py:15(load_wos)
        1    0.004    0.004    1.025    1.025 loaders.py:43(<listcomp>)
        1    0.001    0.001    0.001    0.001 loaders.py:50(<listcomp>)
        1    0.000    0.000    0.000    0.000 loss.py:18(__init__)
        1    0.000    0.000    0.000    0.000 loss.py:198(__init__)
        5    0.000    0.000    0.000    0.000 loss.py:203(forward)
        1    0.000    0.000    0.000    0.000 loss.py:9(__init__)
        6    0.000    0.000    0.000    0.000 message.py:120(__init__)
        6    0.000    0.000    0.000    0.000 message.py:181(is_multipart)
        3    0.000    0.000    0.000    0.000 message.py:213(get_payload)
       12    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        3    0.000    0.000    0.000    0.000 message.py:303(set_payload)
        3    0.000    0.000    0.000    0.000 message.py:451(items)
        3    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
       27    0.000    0.000    0.000    0.000 message.py:462(get)
       30    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       12    0.000    0.000    0.000    0.000 message.py:497(get_all)
       12    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        9    0.000    0.000    0.000    0.000 message.py:588(get_content_maintype)
     1920    3.851    0.002   13.546    0.007 modeling_bert.py:127(gelu)
        1    0.000    0.000    0.164    0.164 modeling_bert.py:160(__init__)
      160    0.082    0.001    0.223    0.001 modeling_bert.py:171(forward)
       12    0.000    0.000    0.136    0.011 modeling_bert.py:197(__init__)
     5760    0.021    0.000    0.084    0.000 modeling_bert.py:215(transpose_for_scores)
     1920    3.014    0.002   17.663    0.009 modeling_bert.py:220(forward)
       12    0.000    0.000    0.046    0.004 modeling_bert.py:267(__init__)
     1920    0.214    0.000    3.250    0.002 modeling_bert.py:273(forward)
       12    0.000    0.000    0.183    0.015 modeling_bert.py:281(__init__)
     1920    0.019    0.000   21.786    0.011 modeling_bert.py:310(forward)
       12    0.000    0.000    0.180    0.015 modeling_bert.py:318(__init__)
     1920    0.333    0.000   22.999    0.012 modeling_bert.py:326(forward)
       12    0.000    0.000    0.180    0.015 modeling_bert.py:333(__init__)
     1920    0.225    0.000    9.768    0.005 modeling_bert.py:339(forward)
       12    0.000    0.000    0.544    0.045 modeling_bert.py:347(__init__)
     1920    0.028    0.000   54.655    0.028 modeling_bert.py:356(forward)
        1    0.000    0.000    0.544    0.544 modeling_bert.py:373(__init__)
        1    0.000    0.000    0.544    0.544 modeling_bert.py:377(<listcomp>)
      160    0.080    0.000   55.214    0.345 modeling_bert.py:379(forward)
        1    0.000    0.000    0.004    0.004 modeling_bert.py:405(__init__)
      160    0.004    0.000    0.033    0.000 modeling_bert.py:410(forward)
      216    0.001    0.000    0.552    0.003 modeling_bert.py:496(_init_weights)
        1    0.000    0.000    1.264    1.264 modeling_bert.py:615(__init__)
      160    0.011    0.000   55.524    0.347 modeling_bert.py:639(forward)
        2    0.000    0.000    0.000    0.000 modeling_utils.py:117(get_output_embeddings)
        2    0.000    0.000    0.000    0.000 modeling_utils.py:123(tie_weights)
        1    0.000    0.000    0.552    0.552 modeling_utils.py:216(init_weights)
        1    0.000    0.000    2.456    2.456 modeling_utils.py:260(from_pretrained)
    216/1    0.001    0.000    0.122    0.122 modeling_utils.py:461(load)
        2    0.000    0.000    0.000    0.000 modeling_utils.py:472(<genexpr>)
        1    0.000    0.000    0.000    0.000 modeling_utils.py:83(__init__)
        3    0.000    0.000    0.000    0.000 models.py:175(register_hook)
        3    0.000    0.000    0.000    0.000 models.py:184(<genexpr>)
        3    0.000    0.000    0.000    0.000 models.py:226(__init__)
        3    0.000    0.000    0.000    0.000 models.py:290(__init__)
        3    0.000    0.000    0.001    0.000 models.py:307(prepare)
        3    0.000    0.000    0.000    0.000 models.py:339(prepare_method)
        3    0.000    0.000    0.001    0.000 models.py:355(prepare_url)
        3    0.000    0.000    0.000    0.000 models.py:441(prepare_headers)
        3    0.000    0.000    0.000    0.000 models.py:452(prepare_body)
        3    0.000    0.000    0.000    0.000 models.py:521(prepare_content_length)
        3    0.000    0.000    0.000    0.000 models.py:534(prepare_auth)
        3    0.000    0.000    0.000    0.000 models.py:556(prepare_cookies)
        3    0.000    0.000    0.000    0.000 models.py:576(prepare_hooks)
        3    0.000    0.000    0.000    0.000 models.py:596(__init__)
        3    0.000    0.000    0.000    0.000 models.py:61(path_url)
        3    0.000    0.000    0.000    0.000 models.py:707(is_redirect)
        3    0.000    0.000    0.000    0.000 models.py:729(iter_content)
        3    0.000    0.000    0.001    0.000 models.py:746(generate)
        3    0.000    0.000    0.001    0.000 models.py:815(content)
        3    0.000    0.000    0.000    0.000 models.py:82(_encode_params)
 1454/650    0.002    0.000    0.002    0.000 module.py:1000(named_modules)
    216/1    0.000    0.000    0.001    0.001 module.py:1038(train)
        1    0.000    0.000    0.001    0.001 module.py:1058(eval)
      209    0.000    0.000    0.001    0.000 module.py:136(register_parameter)
       12    0.000    0.000    0.000    0.000 module.py:175(add_module)
      3/1    0.000    0.000    0.000    0.000 module.py:199(_apply)
       10    0.000    0.000    0.000    0.000 module.py:203(compute_should_use_set_data)
    216/1    0.000    0.000    0.552    0.552 module.py:248(apply)
        1    0.000    0.000    0.000    0.000 module.py:349(to)
       10    0.000    0.000    0.000    0.000 module.py:422(convert)
36340/170    1.571    0.000   57.576    0.339 module.py:522(__call__)
    65225    0.072    0.000    0.072    0.000 module.py:562(__getattr__)
    22235    0.048    0.000    0.064    0.000 module.py:578(__setattr__)
